technique_id,name,category,duration_raw,duration_midpoint_min,description,instructions
1,Mindfulness Meditation,Mindfulness,10-30 minutes,20,Focuses on being present in the moment and non-judgmentally observing your thoughts and surroundings.,"Sit in a comfortable position with your eyes closed and focus on your breath. When your mind wanders, gently bring your attention back to your breath."
2,Transcendental Meditation,Mantra / Repetition,"20 minutes, twice a day",20,Uses a mantra to help quiet the mind and achieve a deep state of relaxation.,Sit in a comfortable position with your eyes closed and repeat a mantra silently to yourself. Allow your mind to become absorbed in the mantra.
3,Loving-Kindness Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves generating feelings of love and compassion towards oneself and others.,Sit in a comfortable position with your eyes closed and repeat phrases of loving-kindness to yourself and others.
4,Body Scan Meditation,Body-Based,10-30 minutes,20,"Involves systematically bringing attention to different parts of the body, noticing sensations and relaxing tension.",Lie down or sit in a comfortable position with your eyes closed. Focus on each part of your body starting from your toes and working your way up to the top of your head.
5,Vipassana Meditation,Traditional / Seated,30-60 minutes,45,Involves observing the breath and bodily sensations to gain insight into the nature of reality.,Sit in a comfortable position with your eyes closed and observe your breath and bodily sensations without judgement.
6,Zen Meditation,Traditional / Seated,20-40 minutes,30,"Involves sitting in silence and focusing on the breath, often with the support of a teacher or group.",Sit in a comfortable position with your eyes half-closed and focus on your breath. Follow the instructions of your teacher.
7,Chakra Meditation,Energy / Spiritual,10-30 minutes,20,Involves focusing on each of the body's energy centers to balance and align them.,"Sit in a comfortable position with your eyes closed and focus on each chakra, starting from the base of your spine and working your way up to the crown of your head."
8,Mantra Meditation,Mantra / Repetition,10-30 minutes,20,Involves repeating a word or phrase to focus the mind and achieve a calm state.,Sit in a comfortable position with your eyes closed and repeat a mantra silently to yourself. Allow your mind to become absorbed in the mantra.
9,Breath Counting Meditation,Breathwork,10-30 minutes,20,Involves counting each breath to maintain focus and concentration.,Sit in a comfortable position with your eyes closed and count each inhale and exhale up to 10. Start over at 1 if you get distracted.
10,Walking Meditation,Movement-Based,10-30 minutes,20,"Involves walking slowly and mindfully, focusing on each step and the sensations in the body.","Find a quiet place to walk slowly. Focus on each step, the sensations in your feet and legs, and the environment around you."
11,Visualization Meditation,Visualization,10-30 minutes,20,Involves creating a mental image or scenario to promote relaxation and positive emotions.,Sit in a comfortable position with your eyes closed and visualize a peaceful scene or positive outcome. Engage all your senses in the visualization.
12,Yoga Nidra Meditation,Body-Based,20-40 minutes,30,Involves lying down and systematically relaxing different parts of the body to achieve a deep state of relaxation.,Lie down in a comfortable position and follow the instructions of the teacher as they guide you through relaxation of each part of the body.
13,Sound Meditation,Sound-Based,10-30 minutes,20,Involves focusing on a particular sound or a series of sounds to promote relaxation.,"Sit in a comfortable position with your eyes closed and focus on a particular sound, such as chanting, a gong, or a singing bowl."
14,Qi Gong Meditation,Movement-Based,10-30 minutes,20,"Involves combining movement, breath, and visualization to improve physical and mental health.","Follow the movements and breathing exercises of a Qi Gong teacher or video, and visualize the flow of energy in your body."
15,Kundalini Meditation,Energy / Spiritual,10-30 minutes,20,"Involves combining breathwork, movement, and mantra to awaken the energy at the base of the spine and raise it up through the chakras.","Follow the instructions of a Kundalini teacher or video, combining breathwork, movement, and mantra."
16,Silent Meditation,Traditional / Seated,10-60 minutes,35,Involves sitting in silence and observing the mind without judgment.,Sit in a comfortable position with your eyes closed and observe your thoughts and sensations without getting caught up in them.
17,Open Monitoring Meditation,Mindfulness,10-30 minutes,20,Involves observing one's thoughts and feelings without judgment and allowing them to come and go.,Sit in a comfortable position with your eyes closed and observe your thoughts and feelings without trying to change or control them.
18,Focused Attention Meditation,Mindfulness,10-30 minutes,20,Involves focusing on a specific object or sound to maintain concentration and develop awareness.,"Sit in a comfortable position with your eyes closed and focus on a specific object or sound, such as a candle flame or the sound of a bell."
19,Metta Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating feelings of loving-kindness and compassion towards oneself and others.,Sit in a comfortable position with your eyes closed and repeat phrases of loving-kindness to yourself and others.
20,Body Awareness Meditation,Body-Based,10-30 minutes,20,Involves focusing on the sensations in the body to develop awareness and relaxation.,"Sit in a comfortable position with your eyes closed and focus on the sensations in your body, such as warmth, tingling, or tension."
21,Compassion Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating feelings of empathy and compassion towards oneself and others.,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing happiness and freedom from suffering.
22,Breath Awareness and Body Scan Meditation,Body-Based,10-30 minutes,20,Involves combining breath awareness and body scan techniques to promote relaxation and awareness.,Lie down or sit in a comfortable position with your eyes closed and focus on your breath and the sensations in your body.
23,Progressive Muscle Relaxation,Body-Based,10-30 minutes,20,Involves tensing and relaxing different muscle groups to promote relaxation and reduce tension.,Lie down in a comfortable position and systematically tense and then release each muscle group in your body.
24,Guided Meditation,Guided / Timed,10-30 minutes,20,Involves following the instructions of a teacher or audio recording to promote relaxation and awareness.,Sit in a comfortable position with your eyes closed and follow the instructions of the teacher or recording.
25,Mindful Eating Meditation,Mindfulness,10-30 minutes,20,"Involves eating slowly and mindfully, focusing on the taste, texture, and sensations of the food.","Choose a food to eat, sit in a quiet place, and focus on the taste, texture, and sensations of each bite."
26,Mindful Breathing Meditation,Mindfulness,10-30 minutes,20,Involves focusing on the breath to promote relaxation and develop awareness.,"Sit in a comfortable position with your eyes closed and focus on your breath, observing each inhale and exhale."
27,Compassionate Mind Meditation,Compassion / Loving-Kindness,10-30 minutes,20,Involves cultivating feelings of compassion and empathy towards oneself and others.,Sit in a comfortable position with your eyes closed and visualize yourself and others experiencing happiness and freedom from suffering.
